Data,,,,Run #,,1,2,3,4,5,6,7,8,9,10,mean,median
gamma,0.1,,,Total Reward,,222.5,2187,2234.5,2186,2229,2260.5,2216,2221,2263.5,2227,2024.7,2224
IQV,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
*****,,,,,,,,,,,,,,,,,
With 96 states,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,1,1,0.98,1,0.99,0.99,0.99,0.99,1,1,0.994,0.995
epsilon,0.01,,,Ratio Penalized Moves,,0.0292,0.025,0.0278,0.0292,0.0248,0.0244,0.0239,0.0214,0.0244,0.0203,0.02504,0.0246
gamma,0.1,,,Total Reward,,2256,2197,2250,2238.5,2285.5,2205.5,2167,2199,2238.5,2218.5,2225.55,2228.5
IQV,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.92,0.93,0.98,0.93,0.93,0.96,0.95,0.87,0.63,0.91,0.901,0.93
epsilon,0.08,,,Ratio Penalized Moves,,0.0983,0.09684,0.07628,0.1177,0.0951,0.08438,0.1008,0.1122,0.1247,0.0879,0.09942,0.09757
gamma,0.3,,,Total Reward,,2143,2157,2186,2336,2192,2280,2351,2219,2054.5,2182,2210.05,2189
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.9,0.6,0.72,0.74,0.6,0.5,0.82,0.97,0.76,0.56,0.717,0.73
epsilon,0.01,,,Ratio Penalized Moves,,0.0359,0.0538,0.0494,0.0452,0.062,0.0331,0.0568,0.051,0.0357,0.0354,0.04583,0.0473
gamma,0.3,,,Total Reward,,2103,1808,1926.5,1970,1923.5,1396,2059.5,2340,1788,1578.5,1889.3,1925
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.81,0.84,0.93,0.95,0.91,0.89,0.92,0.83,0.96,0.91,0.895,0.91
epsilon,0.05,,,Ratio Penalized Moves,,0.1041,0.0706,0.0657,0.0785,0.055,0.0669,0.0804,0.08428,0.0678,0.0728,0.074608,0.0717
gamma,0.3,,,Total Reward,,2374,2136,2187,2290.5,2012.5,2088,2252.5,2111,2251,2187.5,2189,2187.25
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.5,,,Success Rate,,0.93,0.94,0.92,0.88,0.84,0.94,0.69,0.85,0.87,0.8,0.866,0.875
epsilon,0.05,,,Ratio Penalized Moves,,0.1165,0.1033,0.1248,0.1665,0.1294,0.1019,0.194,0.1114,0.1055,0.17,0.13233,0.12065
gamma,0.5,,,Total Reward,,2419.5,2393.5,2397,2525.5,2499,2338.5,2739.5,2322.5,2381.5,2597,2461.35,2408.25
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,1,0.93,0.73,0.84,0.61,0.9,0.97,0.94,0.86,0.88,0.866,0.89
epsilon,0.05,,,Ratio Penalized Moves,,0.0415,0.0775,0.1089,0.0846,0.1148,0.085,0.0649,0.0602,0.0919,0.1017,0.0831,0.0848
gamma,0.5,,,Total Reward,,2247,2201,2283,2160.5,2186,2062,2352,2225,2255.5,2239.5,2221.15,2232.25
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.95,0.48,0.83,0.54,0.72,0.84,0.98,0.39,0.95,0.93,0.761,0.835
epsilon,0.01,,,Ratio Penalized Moves,,0.0273,0.0455,0.0267,0.036,0.0254,0.1103,0.0866,0.0291,0.0245,0.0276,0.0439,0.02835
gamma,0.5,,,Total Reward,,2145.5,1461,1955,1450.5,1798.5,2264,2172.5,1273.5,2103,2047.5,1867.1,2001.25
,,,,,,,,,,,,,,,,,
alpha,0.9,,,Success Rate,,0.96,0.96,0.98,0.66,0.91,0.99,0.77,0.97,0.69,0.82,0.871,0.935
epsilon,0.03,,,Ratio Penalized Moves,,0.059,0.0716,0.0627,0.0692,0.0697,0.0491,0.1057,0.0402,0.0516,0.0916,0.06704,0.06595
gamma,0.5,,,Total Reward,,2289,2332.5,2269.5,1955,2173,2229,2412,2123,1754.5,2113.5,2165.1,2201
